コード,銘柄名,上場日,上場年,時価総額(百万円),経過年数,残り年数,必要CAGR(%)
4270,ＢｅｅＸ,2022/02/24,2022,5780,3.27,1.73,37.39
4447,ピー・ビーシステムズ,2022/10/06,2022,3325,2.66,2.34,60.13
4891,ティムス,2022/11/22,2022,7452,2.53,2.47,12.66
4892,サイフューズ,2022/12/01,2022,7898,2.51,2.49,9.93
4893,ノイルイミューン・バイオ,2023/06/28,2023,7275,1.94,3.06,10.94
5029,サークレイス,2022/04/12,2022,7212,3.15,1.85,19.28
5031,モイ,2022/04/27,2022,3394,3.10,1.90,76.85
5033,ヌーラボ,2022/06/28,2022,5985,2.93,2.07,28.22
5035,ＨＯＵＳＥＩ,2022/07/28,2022,3583,2.85,2.15,61.29
5126,ポーターズ,2022/09/29,2022,3177,2.68,2.32,63.94
5129,ＦＩＸＥＲ,2022/10/06,2022,7513,2.66,2.34,13.01
5134,ＰＯＰＥＲ,2022/11/15,2022,4136,2.55,2.45,43.42
5138,Ｒｅｂａｓｅ,2022/12/16,2022,6824,2.47,2.53,16.28
5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏ,2022/12/20,2022,4144,2.46,2.54,41.38
5255,モンスターラボ,2023/03/28,2023,3988,2.19,2.81,38.66
5259,ＢＢＤイニシアティブ,2023/04/03,2023,7259,2.17,2.83,11.99
5527,ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏ,2022/12/13,2022,4636,2.48,2.52,35.59
5575,Ｇｌｏｂｅｅ,2023/06/14,2023,4257,1.97,3.03,32.61
5578,ＡＲアドバンストテクノロジ,2023/06/23,2023,6835,1.95,3.05,13.29
5587,インバウンドプラットフォーム,2023/08/30,2023,3074,1.76,3.24,43.97
5596,アウトルックコンサルティング,2023/12/12,2023,4468,1.48,3.52,25.71
5597,ブルーイノベーション,2023/12/12,2023,5050,1.48,3.52,21.41
5599,Ｓ＆Ｊ,2023/12/15,2023,7512,1.47,3.53,8.44
5618,ナイル,2023/12/20,2023,3193,1.46,3.54,38.01
5619,マーソ,2023/12/21,2023,3531,1.45,3.55,34.12
5858,ＳＴＧ,2024/03/21,2024,3017,1.20,3.80,37.13
5867,エスネットワークス,2023/12/19,2023,3277,1.46,3.54,37.04
5870,ナルネットコミュニケーションズ,2023/12/25,2023,3514,1.44,3.56,34.18
5884,クラダシ,2023/06/30,2023,5047,1.93,3.07,24.95
7075,ＱＬＳ　ＨＬＤＧ,2024/12/11,2024,5355,0.48,4.52,14.81
7114,フーディソン,2022/12/16,2022,4136,2.47,2.53,41.7
7793,イメージ・マジック,2022/03/03,2022,3096,3.26,1.74,95.82
9159,Ｗ　ＴＯＫＹＯ,2023/06/29,2023,4407,1.93,3.07,30.62
9218,メンタルヘルステクノロジーズ,2022/03/28,2022,7041,3.19,1.81,21.35
9219,ギックス,2022/03/30,2022,5043,3.18,1.82,45.71
9223,ＡＳＮＯＶＡ,2023/12/25,2023,7451,1.44,3.56,8.62
9227,マイクロ波化学,2022/06/24,2022,7815,2.95,2.05,12.75
9237,笑美面,2023/10/26,2023,3708,1.61,3.39,33.96
9238,バリュークリエーション,2023/11/22,2023,3154,1.53,3.47,39.49
9337,トリドリ,2022/12/19,2022,6624,2.46,2.54,17.59
9344,アクシスコンサルティング,2023/03/28,2023,3695,2.19,2.81,42.48
9345,ビズメイツ,2023/03/30,2023,3695,2.18,2.82,42.38
9346,ココルポート,2023/03/31,2023,5510,2.18,2.82,23.53
9557,エアークローゼット,2022/07/29,2022,3807,2.85,2.15,56.71
9561,グラッドキューブ,2022/09/28,2022,7235,2.68,2.32,14.99